release,feature,Mean LOC,Normalized Mean LOC
2020-03,Subversive,12.47866822820813,99.88292667783641
2020-03,WebTools,7.7570426040215015,0.0056583154810931355
2020-03,Window Builder,13.057892567660392,8.522335062072804
2020-06,BIRT,13.181787513738804,99.9961150223748
2020-06,CDT,10.010761723168406,62.68027241161542
2020-06,CVS,9.648624185372919,31.592843808897758
2020-06,DataTools,9.937922469617671,63.64186803203435
2020-06,EclipseLink,9.016864186740019,79.00410272467907
2020-06,EGit,12.505508210351278,65.0039427682042
2020-06,EMF,12.659755105060668,86.88053227084131
2020-06,GEF,7.759822960888808,14.863712226762788
2020-06,GMF Runtime,9.106242539147532,50.79896377350841
2020-06,JDT,19.728577666193647,81.41963071414186
2020-06,m2e,8.597759172617582,77.34292020503
2020-06,Mylyn,8.6878654313214,43.312217821651814
2020-06,PDE,10.11657437740991,99.00947479735107
2020-06,PTP,8.369786777524475,0.03358143444659626
2020-06,RAP,8.775972313081647,70.19168035406383
2020-06,Scout,7.282822473977802,10.701738766892776
2020-06,Subversive,12.47866822820813,99.88292667783641
2020-06,WebTools,7.7570426040215015,0.0056583154810931355
2020-06,Window Builder,13.057892567660392,8.522335062072804
2020-09,BIRT,13.181787513738804,99.9961150223748
2020-09,CDT,10.005447127340059,60.67083193011099
2020-09,CVS,9.656468742457157,32.383551886606384
2020-09,DataTools,9.937994535713019,63.642329539048895
2020-09,EclipseLink,9.017823326278267,79.16913169897529
2020-09,EGit,12.50685073697322,65.2698901466109
2020-09,EMF,12.657624863726232,86.27772292775056
2020-09,GEF,7.759822960888808,14.863712226762788
2020-09,GMF Runtime,9.106242539147532,50.79896377350841
2020-09,JDT,19.49215930800255,45.63239338831428
2020-09,m2e,8.599876923076923,77.45823485311536
2020-09,Mylyn,8.6878654313214,43.312217821651814
2020-09,PDE,10.115649021029732,99.0004184660492
2020-09,PTP,8.369786777524475,0.03358143444659626
2020-09,RAP,8.781062472364349,72.0940842144294
2020-09,Scout,7.2615139985234824,8.770596122240608
2020-09,Subversive,12.47866822820813,99.88292667783641
2020-09,WebTools,7.7576149711327895,0.05238991133863756
2020-09,Window Builder,13.057892567660392,8.522335062072804
2020-12,BIRT,13.181787513738804,99.9961150223748
2020-12,CDT,9.998581560283688,58.074971620664584
2020-12,CVS,9.658377595364557,32.57595859572083
2020-12,DataTools,9.937994535713019,63.642329539048895
2020-12,EclipseLink,9.02093076942808,79.7037965055524
2020-12,EGit,12.518207282913165,67.51956145377288
