release,feature,Total LOC,Normalized LOC
LunaSR0,CVS,160178,96.18510463385954
LunaSR0,DataTools,28318,5.031448775807541
LunaSR0,EclipseLink,1253505,14.048724918226402
LunaSR0,EGit,82733,22.310634795099826
LunaSR0,EMF,651585,69.59134053396923
LunaSR0,GEF,87332,84.43618553021818
LunaSR0,GMF Runtime,128276,3.2586558044806515
LunaSR0,JDT,1225589,31.783750171607622
LunaSR0,m2e,66434,85.63958966464507
LunaSR0,Mylyn,105309,32.80498205239174
LunaSR0,PDE,328917,86.6809678039936
LunaSR0,PTP,187441,74.47752494915012
LunaSR0,RAP,368804,20.56397681676326
LunaSR0,Scout,239066,45.40370861176117
LunaSR0,Subversive,59464,11.230480216038512
LunaSR0,WebTools,270253,82.53173666082121
LunaSR0,Window Builder,487999,99.94182581798576
z20140806,BIRT,1198299,95.6269562695627
z20140806,CDT,1086937,76.05459885195567
z20140806,CVS,160178,96.18510463385954
z20140806,DataTools,28318,5.031448775807541
z20140806,EclipseLink,1253505,14.048724918226402
z20140806,EGit,82733,22.310634795099826
z20140806,EMF,651585,69.59134053396923
z20140806,GEF,87332,84.43618553021818
z20140806,GMF Runtime,128276,3.2586558044806515
z20140806,JDT,1225589,31.783750171607622
z20140806,m2e,66434,85.63958966464507
z20140806,Mylyn,105309,32.80498205239174
z20140806,PDE,328917,86.6809678039936
z20140806,PTP,187441,74.47752494915012
z20140806,RAP,368804,20.56397681676326
z20140806,Scout,239066,45.40370861176117
z20140806,Subversive,59464,11.230480216038512
z20140806,WebTools,270253,82.53173666082121
z20140806,Window Builder,487999,99.94182581798576
z20140805-2300,BIRT,1198299,95.6269562695627
z20140805-2300,CDT,1086937,76.05459885195567
z20140805-2300,CVS,160178,96.18510463385954
z20140805-2300,DataTools,28318,5.031448775807541
z20140805-2300,EclipseLink,1253505,14.048724918226402
z20140805-2300,EGit,82733,22.310634795099826
z20140805-2300,EMF,651585,69.59134053396923
z20140805-2300,GEF,87332,84.43618553021818
z20140805-2300,GMF Runtime,128276,3.2586558044806515
z20140805-2300,JDT,1225589,31.783750171607622
z20140805-2300,m2e,66434,85.63958966464507
z20140805-2300,Mylyn,105309,32.80498205239174
z20140805-2300,PDE,328917,86.6809678039936
z20140805-2300,PTP,187441,74.47752494915012
z20140805-2300,RAP,368804,20.56397681676326
z20140805-2300,Scout,239066,45.40370861176117
z20140805-2300,Subversive,59464,11.230480216038512
z20140805-2300,WebTools,270253,82.53173666082121
z20140805-2300,Window Builder,487999,99.94182581798576
LunaRC4,BIRT,1199008,95.863291966253
LunaRC4,CDT,1087435,76.20568925134404
LunaRC4,CVS,160532,96.553482418806
LunaRC4,DataTools,28318,5.031448775807541
LunaRC4,EclipseLink,1257275,14.311880241293187
LunaRC4,EGit,83613,23.73097470826541
LunaRC4,EMF,653552,71.1242031763844
LunaRC4,GEF,87496,84.6380093281975
LunaRC4,GMF Runtime,128281,3.5980991174473864
LunaRC4,JDT,1230013,32.67691736184577
LunaRC4,m2e,66447,85.65684179793772
LunaRC4,Mylyn,112002,34.93482854306153
LunaRC4,PDE,328917,86.6809678039936
LunaRC4,PTP,187479,74.52272483971882
LunaRC4,RAP,368727,20.485956308515384
LunaRC4,Scout,246147,52.05872125261981
LunaRC4,Subversive,59470,11.265703886344959
LunaRC4,WebTools,270646,82.66902348198504
LunaRC4,Window Builder,488015,99.96452793779619
LunaSR2,BIRT,1200868,96.483298166315
LunaSR2,CDT,1089948,76.96811931894031
LunaSR2,CVS,159797,95.78863023819683
LunaSR2,DataTools,28318,5.031448775807541
LunaSR2,EclipseLink,1270159,15.211215302935752
LunaSR2,EGit,86404,28.23571186468034
LunaSR2,EMF,653788,71.30811552189024
LunaSR2,GEF,87514,84.66016072065864
LunaSR2,GMF Runtime,129496,86.08282416836389
LunaSR2,JDT,1242205,35.1383763092652
LunaSR2,m2e,67336,86.83662229771873
LunaSR2,Mylyn,112968,35.242229067488104
LunaSR2,PDE,328917,86.6809678039936
LunaSR2,PTP,128856,4.792377871085154
LunaSR2,RAP,382379,34.31889109552952
LunaSR2,Scout,204959,13.348558754147048
LunaSR2,Subversive,59591,11.976047904191617
LunaSR2,WebTools,270820,82.72980696005757
LunaSR2,Window Builder,488040,100.0
S201504150911,BIRT,1202427,97.0029700297003
S201504150911,CDT,1112877,83.92464897270663
S201504150911,CVS,159797,95.78863023819683
S201504150911,DataTools,28318,5.031448775807541
S201504150911,EclipseLink,1271758,15.322829457202008
S201504150911,EGit,88442,31.525089981761546
S201504150911,EMF,654077,71.53333021617495
S201504150911,GEF,87514,84.66016072065864
S201504150911,GMF Runtime,129498,86.21860149355058
S201504150911,JDT,1246081,35.92090705731291
S201504150911,m2e,67383,86.89899539500749
S201504150911,Mylyn,113285,35.34310480894071
S201504150911,PDE,337028,88.81849590335665
S201504150911,PTP,129215,5.219397889878793
S201504150911,RAP,385144,37.12053661897621
S201504150911,Scout,209832,17.928402928543903
S201504150911,Subversive,59591,11.976047904191617
S201504150911,WebTools,270879,82.75041744974884
S201504150911,Window Builder,488040,100.0
Mars.1,BIRT,1203545,97.37564042307089
Mars.1,CDT,1126980,88.20341986140944
Mars.1,CVS,159797,95.78863023819683
Mars.1,DataTools,28318,5.031448775807541
Mars.1,EclipseLink,1278191,15.771868765766634
Mars.1,EGit,91857,37.03697725842116
Mars.1,EMF,654187,71.61905207213105
Mars.1,GEF,85693,82.4191781833397
Mars.1,GMF Runtime,129498,86.21860149355058
Mars.1,JDT,1251183,36.95095656106405
Mars.1,m2e,67793,87.4431011373137
Mars.1,Mylyn,147386,46.19472518520404
Mars.1,PDE,344692,90.8382240939026
Mars.1,PTP,129243,5.252703072403088
Mars.1,RAP,383848,35.8073602723625
Mars.1,Scout,213560,21.4321293972801
Mars.1,Subversive,59579,11.905600563578725
Mars.1,WebTools,271280,82.89049891358266
Mars.1,Window Builder,487951,99.87371945855445
Neon,BIRT,1207506,98.6959869598696
Neon,CDT,1101523,80.47990922440262
Neon,CVS,162340,98.4349147215834
Neon,DataTools,28318,5.031448775807541
Neon,EclipseLink,1305713,17.69297242662713
Neon,EGit,100897,51.62774182094033
Neon,EMF,654791,72.08974299029005
Neon,GEF,85909,82.6849948928734
Neon,GMF Runtime,129498,86.21860149355058
Neon,JDT,1275938,41.94877613483109
Neon,m2e,68491,88.36940798641064
Neon,Mylyn,245443,77.39842417453731
Neon,PDE,344692,90.8382240939026
Neon,PTP,129327,5.352618619975972
Neon,RAP,386211,38.20167794755401
Neon,Scout,190756,0.0
Neon,Subversive,59663,12.398731947868969
Neon,WebTools,271340,82.91145873360767
Neon,Window Builder,479311,87.6145747609183
OxygenPreRienaRemoval_9-8-2016,BIRT,1208130,98.90398903989039
OxygenPreRienaRemoval_9-8-2016,CDT,1102295,80.7141296828922
OxygenPreRienaRemoval_9-8-2016,CVS,162775,98.88758233867863
OxygenPreRienaRemoval_9-8-2016,DataTools,28318,5.031448775807541
OxygenPreRienaRemoval_9-8-2016,EclipseLink,1308466,17.88513863469155
OxygenPreRienaRemoval_9-8-2016,EGit,102556,54.30540536178318
OxygenPreRienaRemoval_9-8-2016,EMF,655022,72.26975888779789
OxygenPreRienaRemoval_9-8-2016,GEF,85909,82.6849948928734
OxygenPreRienaRemoval_9-8-2016,GMF Runtime,129498,86.21860149355058
OxygenPreRienaRemoval_9-8-2016,JDT,1278975,42.561920067189426
OxygenPreRienaRemoval_9-8-2016,m2e,69781,90.08135044391065
OxygenPreRienaRemoval_9-8-2016,Mylyn,245587,77.44424785519716
OxygenPreRienaRemoval_9-8-2016,PDE,349559,92.12084636730907
OxygenPreRienaRemoval_9-8-2016,PTP,129393,5.431123693068954
OxygenPreRienaRemoval_9-8-2016,RAP,386292,38.283751469217364
OxygenPreRienaRemoval_9-8-2016,Scout,193962,3.013129575849851
OxygenPreRienaRemoval_9-8-2016,Subversive,69626,70.88763649172243
OxygenPreRienaRemoval_9-8-2016,WebTools,271340,82.91145873360767
OxygenPreRienaRemoval_9-8-2016,Window Builder,479311,87.6145747609183
Neon.1,BIRT,1208130,98.90398903989039
Neon.1,CDT,1107573,82.31544520090776
Neon.1,CVS,162775,98.88758233867863
Neon.1,DataTools,28318,5.031448775807541
Neon.1,EclipseLink,1308532,17.88974559790704
Neon.1,EGit,102789,54.68147263424633
Neon.1,EMF,655022,72.26975888779789
Neon.1,GEF,85909,82.6849948928734
Neon.1,GMF Runtime,129498,86.21860149355058
Neon.1,JDT,1279259,42.619257201463306
Neon.1,m2e,69822,90.13576101814128
Neon.1,Mylyn,248484,78.3661312084723
Neon.1,PDE,349534,92.11425800551841
Neon.1,PTP,129393,5.431123693068954
Neon.1,RAP,386328,38.320228589956635
Neon.1,Scout,194414,3.4379376133682955
Neon.1,Subversive,67576,58.85288247035341
Neon.1,WebTools,271340,82.91145873360767
